,compound,flashpoint,pure substance,smiles,source
3534,ALLYLTRICHLOROGERMANE,328.15,1.0,C=CC[Ge](Cl)(Cl)Cl,gelest_germanium
3535,ALLYLTRIETHYLGERMANE,321.15,1.0,C=CC[Ge](CC)(CC)CC,gelest_germanium
3536,ALLYLTRIMETHYLGERMANE,274.15,1.0,C=CC[Ge](C)(C)C,gelest_germanium
3537,BIS(CHLOROMETHYL)DIMETHYLGERMANE,324.15,1.0,C[Ge](C)(CCl)CCl,gelest_germanium
3538,t-BUTYLDIMETHYLCHLOROGERMANE,307.15,1.0,CC(C)(C)[Ge](C)(C)Cl,gelest_germanium
3539,n-BUTYLTRICHLOROGERMANE,355.15,1.0,CCCC[Ge](Cl)(Cl)Cl,gelest_germanium
3540,DI-n-BUTYLDICHLOROGERMANE,380.15,1.0,CCCC[Ge](Cl)(Cl)CCCC,gelest_germanium
3541,DICHLOROMETHYLTRIMETHYLGERMANE,306.15,1.0,C[Ge](C)(C)C(Cl)Cl,gelest_germanium
3542,DIETHYLDICHLOROGERMANE,325.15,1.0,CC[Ge](Cl)(Cl)CC,gelest_germanium
3543,DIMETHYLAMINOTRIMETHYLGERMANE,263.15,1.0,CN(C)[Ge](C)(C)C,gelest_germanium
3544,DIPHENYLDICHLOROGERMANE,433.15,1.0,Cl[Ge](Cl)(c1ccccc1)c1ccccc1,gelest_germanium
3545,DIPHENYLGERMANE,377.15,1.0,c1ccc([GeH2]c2ccccc2)cc1,gelest_germanium
3546,ETHYLTRICHLOROGERMANE,324.15,1.0,CC[Ge](Cl)(Cl)Cl,gelest_germanium
3547,HEXAMETHYLDIGERMANE,287.15,1.0,C[Ge](C)(C)[Ge](C)(C)C,gelest_germanium
3548,METHACRYLOXYMETHYLTRIMETHYLGERMANE,336.15,1.0,C=C(C)C(=O)OC[Ge](C)(C)C,gelest_germanium
3549,METHYLTRICHLOROGERMANE,283.15,1.0,C[Ge](Cl)(Cl)Cl,gelest_germanium
3550,METHYLTRIETHOXYGERMANE,313.15,1.0,CCO[Ge](C)(OCC)OCC,gelest_germanium
3551,TETRAALLYLGERMANE,343.15,1.0,C=CC[Ge](CC=C)(CC=C)CC=C,gelest_germanium
3552,TETRA-n-BUTOXYGERMANE,385.15,1.0,CCCCO[Ge](OCCCC)(OCCCC)OCCCC,gelest_germanium
3553,TETRA-n-BUTYLGERMANE,363.15,1.0,CCCC[Ge](CCCC)(CCCC)CCCC,gelest_germanium
3554,TETRAETHOXYGERMANE,335.15,1.0,CCO[Ge](OCC)(OCC)OCC,gelest_germanium
3555,TETRAETHYLGERMANE,315.15,1.0,CC[Ge](CC)(CC)CC,gelest_germanium
3556,TETRAKIS(DIMETHYLAMINO)GERMANE,307.15,1.0,CN(C)[Ge](N(C)C)(N(C)C)N(C)C,gelest_germanium
3557,TETRAISOPROPOXYGERMANE,341.15,1.0,CC(C)O[Ge](OC(C)C)(OC(C)C)OC(C)C,gelest_germanium
3558,TETRAMETHOXYGERMANE,307.15,1.0,CO[Ge](OC)(OC)OC,gelest_germanium
3559,TETRAMETHYLGERMANE,254.15,1.0,C[Ge](C)(C)C,gelest_germanium
3560,TRI-n-BUTYLCHLOROGERMANE,367.15,1.0,CCCC[Ge](Cl)(CCCC)CCCC,gelest_germanium
3561,TRI-n-BUTYLGERMANE,351.15,1.0,CCCC[GeH](CCCC)CCCC,gelest_germanium
3562,TRICHLOROGERMANE,285.15,1.0,Cl[GeH](Cl)Cl,gelest_germanium
3563,TRIETHYLCHLOROGERMANE,311.15,1.0,CC[Ge](Cl)(CC)CC,gelest_germanium
3564,TRIETHYLGERMANE,278.15,1.0,CC[GeH](CC)CC,gelest_germanium
3565,TRIISOPROPYLCHLOROGERMANE,339.15,1.0,CC(C)[Ge](Cl)(C(C)C)C(C)C,gelest_germanium
3566,TRIMETHYLBROMOGERMANE,310.15,1.0,C[Ge](C)(C)Br,gelest_germanium
3567,TRIMETHYLCHLOROGERMANE,274.15,1.0,C[Ge](C)(C)Cl,gelest_germanium
3568,VINYLTRIETHYLGERMANE,305.15,1.0,C=C[Ge](CC)(CC)CC,gelest_germanium
